score_id,student_id,subject,score
84,S2083,math_score,47
85,S2084,math_score,41
86,S2085,math_score,83
87,S2086,math_score,98
88,S2087,math_score,77
89,S2088,math_score,95
90,S2089,math_score,65
91,S2090,math_score,90
92,S2091,math_score,60
93,S2092,math_score,96
94,S2093,math_score,89
95,S2094,math_score,52
96,S2095,math_score,58
97,S2096,math_score,57
98,S2097,math_score,41
99,S2098,math_score,91
100,S2099,math_score,84
101,S2100,math_score,93
102,S2101,math_score,81
103,S2102,math_score,88
104,S2103,math_score,96
105,S2104,math_score,67
106,S2105,math_score,89
107,S2106,math_score,62
108,S2107,math_score,43
109,S2108,math_score,43
110,S2109,math_score,51
111,S2110,math_score,61
112,S2111,math_score,65
113,S2112,math_score,79
114,S2113,math_score,81
115,S2114,math_score,74
116,S2115,math_score,43
117,S2116,math_score,51
118,S2117,math_score,43
119,S2118,math_score,91
120,S2119,math_score,96
121,S2120,math_score,70
122,S2121,math_score,46
123,S2122,math_score,49
124,S2123,math_score,63
125,S2124,math_score,54
126,S2125,math_score,78
127,S2126,math_score,59
128,S2127,math_score,97
129,S2128,math_score,46
130,S2129,math_score,52
131,S2130,math_score,94
132,S2131,math_score,67
133,S2132,math_score,78
134,S2133,math_score,57
135,S2134,math_score,86
136,S2135,math_score,50
137,S2136,math_score,75
138,S2137,math_score,92
139,S2138,math_score,75
140,S2139,math_score,41
141,S2140,math_score,87
142,S2141,math_score,85
143,S2142,math_score,56
144,S2143,math_score,45
145,S2144,math_score,80
146,S2145,math_score,85
147,S2146,math_score,62
148,S2147,math_score,86
149,S2148,math_score,55
150,S2149,math_score,99
151,S2150,math_score,80
152,S2151,math_score,65
153,S2152,math_score,85
154,S2153,math_score,89
155,S2154,math_score,40
156,S2155,math_score,75
157,S2156,math_score,69
158,S2157,math_score,41
159,S2158,math_score,59
160,S2159,math_score,44
161,S2160,math_score,70
162,S2161,math_score,47
163,S2162,math_score,69
164,S2163,math_score,78
165,S2164,math_score,100
166,S2165,math_score,41
167,S2166,math_score,92
168,S2167,math_score,52
169,S2168,math_score,43
170,S2169,math_score,84
171,S2170,math_score,91
172,S2171,math_score,47
173,S2172,math_score,78
174,S2173,math_score,64
175,S2174,math_score,46
176,S2175,math_score,53
177,S2176,math_score,68
178,S2177,math_score,84
179,S2178,math_score,60
180,S2179,math_score,76
181,S2180,math_score,95
182,S2181,math_score,88
183,S2182,math_score,72
184,S2183,math_score,97
185,S2184,math_score,80
186,S2185,math_score,64
187,S2186,math_score,92
188,S2187,math_score,98
189,S2188,math_score,98
190,S2189,math_score,85
191,S2190,math_score,53
192,S2191,math_score,48
193,S2192,math_score,54
194,S2193,math_score,46
195,S2194,math_score,41
196,S2195,math_score,70
197,S2196,math_score,46
198,S2197,math_score,80
199,S2198,math_score,95
200,S2199,math_score,50
201,S2200,math_score,52
202,S2201,math_score,52
203,S2202,math_score,65
204,S2203,math_score,82
205,S2204,math_score,99
206,S2205,math_score,89
207,S2206,math_score,47
208,S2207,math_score,53
209,S2208,math_score,84
210,S2209,math_score,99
211,S2210,math_score,41
212,S2211,math_score,95
213,S2212,math_score,81
214,S2213,math_score,54
215,S2214,math_score,96
216,S2215,math_score,63
217,S2216,math_score,73
218,S2217,math_score,43
219,S2218,math_score,57
220,S2219,math_score,64
221,S2220,math_score,86
222,S2221,math_score,63
223,S2222,math_score,45
224,S2223,math_score,73
225,S2224,math_score,90
226,S2225,math_score,77
227,S2226,math_score,42
228,S2227,math_score,58
229,S2228,math_score,86
230,S2229,math_score,85
231,S2230,math_score,97
232,S2231,math_score,75
233,S2232,math_score,58
234,S2233,math_score,67
235,S2234,math_score,86
236,S2235,math_score,94
237,S2236,math_score,95
238,S2237,math_score,49
239,S2238,math_score,57
240,S2239,math_score,43
241,S2240,math_score,51
242,S2241,math_score,66
243,S2242,math_score,68
244,S2243,math_score,96
245,S2244,math_score,51
246,S2245,math_score,50
247,S2246,math_score,43
248,S2247,math_score,85
249,S2248,math_score,98
250,S2249,math_score,98
251,S2000,science_score,99
252,S2001,science_score,63
253,S2002,science_score,65
254,S2003,science_score,67
255,S2004,science_score,97
256,S2005,science_score,86
257,S2006,science_score,99
258,S2007,science_score,43
259,S2008,science_score,75
260,S2009,science_score,54
261,S2010,science_score,61
262,S2011,science_score,99
263,S2012,science_score,94
264,S2013,science_score,88
265,S2014,science_score,96
266,S2015,science_score,63
267,S2016,science_score,63
268,S2017,science_score,76
269,S2018,science_score,44
270,S2019,science_score,45
271,S2020,science_score,88
272,S2021,science_score,96
273,S2022,science_score,100
274,S2023,science_score,49
275,S2024,science_score,42
276,S2025,science_score,77
277,S2026,science_score,73
278,S2027,science_score,45
279,S2028,science_score,100
280,S2029,science_score,49
281,S2030,science_score,55
282,S2031,science_score,99
283,S2032,science_score,68
284,S2033,science_score,42
285,S2034,science_score,50
286,S2035,science_score,76
287,S2036,science_score,43
288,S2037,science_score,88
289,S2038,science_score,43
290,S2039,science_score,63
291,S2040,science_score,67
292,S2041,science_score,95
293,S2042,science_score,74
294,S2043,science_score,77
295,S2044,science_score,89
296,S2045,science_score,63
297,S2046,science_score,61
298,S2047,science_score,65
299,S2048,science_score,57
300,S2049,science_score,98
301,S2050,science_score,42
302,S2051,science_score,85
303,S2052,science_score,50
304,S2053,science_score,48
305,S2054,science_score,93
306,S2055,science_score,72
307,S2056,science_score,65
308,S2057,science_score,75
309,S2058,science_score,43
310,S2059,science_score,91
311,S2060,science_score,41
312,S2061,science_score,47
313,S2062,science_score,46
314,S2063,science_score,75
315,S2064,science_score,73
316,S2065,science_score,79
317,S2066,science_score,58
318,S2067,science_score,68
319,S2068,science_score,78
320,S2069,science_score,45
321,S2070,science_score,49
322,S2071,science_score,80
323,S2072,science_score,81
324,S2073,science_score,44
325,S2074,science_score,98
326,S2075,science_score,63
327,S2076,science_score,80
328,S2077,science_score,61
329,S2078,science_score,65
330,S2079,science_score,90
331,S2080,science_score,76
332,S2081,science_score,84
333,S2082,science_score,68
334,S2083,science_score,75
335,S2084,science_score,59
336,S2085,science_score,57
337,S2086,science_score,79
338,S2087,science_score,84
339,S2088,science_score,80
340,S2089,science_score,93
341,S2090,science_score,95
342,S2091,science_score,95
343,S2092,science_score,54
344,S2093,science_score,54
345,S2094,science_score,63
346,S2095,science_score,68
347,S2096,science_score,93
348,S2097,science_score,56
349,S2098,science_score,88
350,S2099,science_score,86
351,S2100,science_score,64
352,S2101,science_score,55
353,S2102,science_score,89
354,S2103,science_score,56
355,S2104,science_score,86
356,S2105,science_score,86
357,S2106,science_score,60
358,S2107,science_score,83
359,S2108,science_score,87
360,S2109,science_score,66
361,S2110,science_score,93
362,S2111,science_score,44
363,S2112,science_score,61
364,S2113,science_score,72
365,S2114,science_score,79
366,S2115,science_score,41
367,S2116,science_score,74
368,S2117,science_score,82
369,S2118,science_score,58
370,S2119,science_score,79
371,S2120,science_score,66
372,S2121,science_score,79
373,S2122,science_score,75
374,S2123,science_score,98
375,S2124,science_score,78
376,S2125,science_score,41
377,S2126,science_score,80
378,S2127,science_score,92
379,S2128,science_score,57
380,S2129,science_score,85
381,S2130,science_score,62
382,S2131,science_score,93
383,S2132,science_score,65
384,S2133,science_score,50
385,S2134,science_score,87
386,S2135,science_score,40
387,S2136,science_score,75
388,S2137,science_score,89
389,S2138,science_score,59
390,S2139,science_score,70
391,S2140,science_score,47
392,S2141,science_score,79
393,S2142,science_score,63
394,S2143,science_score,93
395,S2144,science_score,59
396,S2145,science_score,94
397,S2146,science_score,54
398,S2147,science_score,69
399,S2148,science_score,59
400,S2149,science_score,77
401,S2150,science_score,41
402,S2151,science_score,45
403,S2152,science_score,81
404,S2153,science_score,57
405,S2154,science_score,75
406,S2155,science_score,53
407,S2156,science_score,65
408,S2157,science_score,73
409,S2158,science_score,93
410,S2159,science_score,69
411,S2160,science_score,46
412,S2161,science_score,98
413,S2162,science_score,69
414,S2163,science_score,57
415,S2164,science_score,61
416,S2165,science_score,56
417,S2166,science_score,70
418,S2167,science_score,95
419,S2168,science_score,56
420,S2169,science_score,70
421,S2170,science_score,52
422,S2171,science_score,66
423,S2172,science_score,59
424,S2173,science_score,56
425,S2174,science_score,68
426,S2175,science_score,78
427,S2176,science_score,74
428,S2177,science_score,47
429,S2178,science_score,82
430,S2179,science_score,77
431,S2180,science_score,54
432,S2181,science_score,89
433,S2182,science_score,40
434,S2183,science_score,72
435,S2184,science_score,42
436,S2185,science_score,78
437,S2186,science_score,77
438,S2187,science_score,87
439,S2188,science_score,54
440,S2189,science_score,100
441,S2190,science_score,81
442,S2191,science_score,57
443,S2192,science_score,77
444,S2193,science_score,70
445,S2194,science_score,59
446,S2195,science_score,98
447,S2196,science_score,46
448,S2197,science_score,76
449,S2198,science_score,66
450,S2199,science_score,47
451,S2200,science_score,53
452,S2201,science_score,89
453,S2202,science_score,54
454,S2203,science_score,46
455,S2204,science_score,72
456,S2205,science_score,91
457,S2206,science_score,73
458,S2207,science_score,43
459,S2208,science_score,40
460,S2209,science_score,80
461,S2210,science_score,53
462,S2211,science_score,70
463,S2212,science_score,77
464,S2213,science_score,89
465,S2214,science_score,92
466,S2215,science_score,59
467,S2216,science_score,42
468,S2217,science_score,74
469,S2218,science_score,85
470,S2219,science_score,72
471,S2220,science_score,54
472,S2221,science_score,42
473,S2222,science_score,67
474,S2223,science_score,66
475,S2224,science_score,86
476,S2225,science_score,86
477,S2226,science_score,72
478,S2227,science_score,58
479,S2228,science_score,95
480,S2229,science_score,97
481,S2230,science_score,72
482,S2231,science_score,70
483,S2232,science_score,43
484,S2233,science_score,71
485,S2234,science_score,81
486,S2235,science_score,67
487,S2236,science_score,95
488,S2237,science_score,55
489,S2238,science_score,88
490,S2239,science_score,82
491,S2240,science_score,67
492,S2241,science_score,54
493,S2242,science_score,87
494,S2243,science_score,61
495,S2244,science_score,70
496,S2245,science_score,99
497,S2246,science_score,60
498,S2247,science_score,71
499,S2248,science_score,46
500,S2249,science_score,72
501,S2000,english_score,47
502,S2001,english_score,53
503,S2002,english_score,96
504,S2003,english_score,64
505,S2004,english_score,71
506,S2005,english_score,67
507,S2006,english_score,41
508,S2007,english_score,56
509,S2008,english_score,66
510,S2009,english_score,41
511,S2010,english_score,47
512,S2011,english_score,77
513,S2012,english_score,59
514,S2013,english_score,88
515,S2014,english_score,76
516,S2015,english_score,96
517,S2016,english_score,60
518,S2017,english_score,65
519,S2018,english_score,70
520,S2019,english_score,59
521,S2020,english_score,45
522,S2021,english_score,89
523,S2022,english_score,54
524,S2023,english_score,96
525,S2024,english_score,40
526,S2025,english_score,65
527,S2026,english_score,68
528,S2027,english_score,41
529,S2028,english_score,61
530,S2029,english_score,100
531,S2030,english_score,99
532,S2031,english_score,68
533,S2032,english_score,48
534,S2033,english_score,80
535,S2034,english_score,60
536,S2035,english_score,94
537,S2036,english_score,96
538,S2037,english_score,71
539,S2038,english_score,71
540,S2039,english_score,86
541,S2040,english_score,83
542,S2041,english_score,79
543,S2042,english_score,65
544,S2043,english_score,87
545,S2044,english_score,52
546,S2045,english_score,42
547,S2046,english_score,71
548,S2047,english_score,72
549,S2048,english_score,72
550,S2049,english_score,81
551,S2050,english_score,81
552,S2051,english_score,52
553,S2052,english_score,82
554,S2053,english_score,45
555,S2054,english_score,43
556,S2055,english_score,77
557,S2056,english_score,45
558,S2057,english_score,90
559,S2058,english_score,42
560,S2059,english_score,66
561,S2060,english_score,79
562,S2061,english_score,59
563,S2062,english_score,57
564,S2063,english_score,59
565,S2064,english_score,69
566,S2065,english_score,49
567,S2066,english_score,91
568,S2067,english_score,62
569,S2068,english_score,86
570,S2069,english_score,42
571,S2070,english_score,91
572,S2071,english_score,89
573,S2072,english_score,97
574,S2073,english_score,48
575,S2074,english_score,88
576,S2075,english_score,58
577,S2076,english_score,75
578,S2077,english_score,79
579,S2078,english_score,66
580,S2079,english_score,81
581,S2080,english_score,67
582,S2081,english_score,82
583,S2082,english_score,90
584,S2083,english_score,47
585,S2084,english_score,81
586,S2085,english_score,87
587,S2086,english_score,47
588,S2087,english_score,57
589,S2088,english_score,98
590,S2089,english_score,60
591,S2090,english_score,85
592,S2091,english_score,52
593,S2092,english_score,66
594,S2093,english_score,86
595,S2094,english_score,99
596,S2095,english_score,79
597,S2096,english_score,92
598,S2097,english_score,55
599,S2098,english_score,79
600,S2099,english_score,48
601,S2100,english_score,66
602,S2101,english_score,56
603,S2102,english_score,42
604,S2103,english_score,95
605,S2104,english_score,92
606,S2105,english_score,43
607,S2106,english_score,79
608,S2107,english_score,91
609,S2108,english_score,95
610,S2109,english_score,40
611,S2110,english_score,53
612,S2111,english_score,47
613,S2112,english_score,46
614,S2113,english_score,69
615,S2114,english_score,64
616,S2115,english_score,78
617,S2116,english_score,55
618,S2117,english_score,50
619,S2118,english_score,64
620,S2119,english_score,72
621,S2120,english_score,100
622,S2121,english_score,93
623,S2122,english_score,91
624,S2123,english_score,90
625,S2124,english_score,87
626,S2125,english_score,60
627,S2126,english_score,91
628,S2127,english_score,91
629,S2128,english_score,49
630,S2129,english_score,95
631,S2130,english_score,89
632,S2131,english_score,48
633,S2132,english_score,40
634,S2133,english_score,73
635,S2134,english_score,70
636,S2135,english_score,60
637,S2136,english_score,63
638,S2137,english_score,58
639,S2138,english_score,100
640,S2139,english_score,87
641,S2140,english_score,99
642,S2141,english_score,99
643,S2142,english_score,60
644,S2143,english_score,64
645,S2144,english_score,59
646,S2145,english_score,92
647,S2146,english_score,65
648,S2147,english_score,46
649,S2148,english_score,42
650,S2149,english_score,79
651,S2150,english_score,95
652,S2151,english_score,87
653,S2152,english_score,47
654,S2153,english_score,92
655,S2154,english_score,69
656,S2155,english_score,50
657,S2156,english_score,47
658,S2157,english_score,96
659,S2158,english_score,76
660,S2159,english_score,56
661,S2160,english_score,47
662,S2161,english_score,86
663,S2162,english_score,83
664,S2163,english_score,69
665,S2164,english_score,82
666,S2165,english_score,82
667,S2166,english_score,55
668,S2167,english_score,94
669,S2168,english_score,43
670,S2169,english_score,60
671,S2170,english_score,89
672,S2171,english_score,73
673,S2172,english_score,79
674,S2173,english_score,74
675,S2174,english_score,52
676,S2175,english_score,82
677,S2176,english_score,66
678,S2177,english_score,47
679,S2178,english_score,80
680,S2179,english_score,81
681,S2180,english_score,68
682,S2181,english_score,55
683,S2182,english_score,82
684,S2183,english_score,92
685,S2184,english_score,85
686,S2185,english_score,44
687,S2186,english_score,76
688,S2187,english_score,79
689,S2188,english_score,79
690,S2189,english_score,81
691,S2190,english_score,99
692,S2191,english_score,49
693,S2192,english_score,54
694,S2193,english_score,60
695,S2194,english_score,73
696,S2195,english_score,61
697,S2196,english_score,61
698,S2197,english_score,48
699,S2198,english_score,65
700,S2199,english_score,52
701,S2200,english_score,93
702,S2201,english_score,57
703,S2202,english_score,40
704,S2203,english_score,62
705,S2204,english_score,72
706,S2205,english_score,86
707,S2206,english_score,70
708,S2207,english_score,97
709,S2208,english_score,60
710,S2209,english_score,62
711,S2210,english_score,55
712,S2211,english_score,100
713,S2212,english_score,66
714,S2213,english_score,76
715,S2214,english_score,77
716,S2215,english_score,91
717,S2216,english_score,53
718,S2217,english_score,76
719,S2218,english_score,86
720,S2219,english_score,46
721,S2220,english_score,51
722,S2221,english_score,67
723,S2222,english_score,42
724,S2223,english_score,61
725,S2224,english_score,90
726,S2225,english_score,60
727,S2226,english_score,68
728,S2227,english_score,59
729,S2228,english_score,42
730,S2229,english_score,66
731,S2230,english_score,60
732,S2231,english_score,80
733,S2232,english_score,72
734,S2233,english_score,69
735,S2234,english_score,87
736,S2235,english_score,78
737,S2236,english_score,80
738,S2237,english_score,98
739,S2238,english_score,48
740,S2239,english_score,87
741,S2240,english_score,77
742,S2241,english_score,62
743,S2242,english_score,93
744,S2243,english_score,62
745,S2244,english_score,40
746,S2245,english_score,60
747,S2246,english_score,71
748,S2247,english_score,84
749,S2248,english_score,65
750,S2249,english_score,72
